            775       773.78300         1.00000      2915.40700        12.17000         0.16109        44.00000
            777       773.78300         1.00000      2965.67300        12.18000         0.16353        65.50000
            738       765.88700         1.00000      3015.93900        12.24000         0.16204        69.50000
            737       765.88700         1.00000      2990.80600        12.24000         0.16191        70.00000
            771       773.78300         1.00000      2814.87500        12.19000         0.16412        77.00000
            693       757.99100         1.00000      2915.40700        12.30000         0.16070        81.50000
            769       773.78300         1.00000      2764.60900        12.19000         0.16492        84.50000
            734       765.88700         1.00000      2915.40700        12.25000         0.16375        88.00000
            770       773.78300         1.00000      2789.74200        12.19000         0.16601        91.50000
            615       742.19900         1.00000      3015.93900        12.41000         0.15718       103.00000
            773       773.78300         1.00000      2865.14100        12.20000         0.16669       104.00000
            654       750.09500         1.00000      2965.67300        12.36000         0.16060       104.00000
            694       757.99100         1.00000      2940.54000        12.31000         0.16396       109.00000
            613       742.19900         1.00000      2965.67300        12.42000         0.15911       112.00000
            651       750.09500         1.00000      2890.27400        12.37000         0.16144       115.00000
            687       757.99100         1.00000      2764.60900        12.32000         0.16431       115.50000
            648       750.09500         1.00000      2814.87500        12.37000         0.16177       116.00000
            733       765.88700         1.00000      2890.27400        12.26000         0.16661       118.00000
            761       773.78300         1.00000      2563.54500        12.20000         0.16789       118.50000
            697       757.99100         1.00000      3015.93900        12.31000         0.16499       122.00000
            653       750.09500         1.00000      2940.54000        12.37000         0.16337       125.50000
            696       757.99100         1.00000      2990.80600        12.32000         0.16508       125.50000
            692       757.99100         1.00000      2890.27400        12.32000         0.16528       128.00000
            650       750.09500         1.00000      2865.14100        12.38000         0.16350       131.50000
            735       765.88700         1.00000      2940.54000        12.26000         0.16793       134.50000
            760       773.78300         1.00000      2538.41200        12.21000         0.17004       135.00000
            449       710.61500         1.00000      2965.67300      9999.00000         0.15844       137.00000
            688       757.99100         1.00000      2789.74200        12.32000         0.16661       138.50000
            574       734.30300         1.00000      3015.93900        12.49000         0.16039       139.50000
            448       710.61500         1.00000      2940.54000      9999.00000         0.15897       141.50000
            569       734.30300         1.00000      2890.27400        12.50000         0.16038       143.50000
            450       710.61500         1.00000      2990.80600      9999.00000         0.15990       145.50000
            611       742.19900         1.00000      2915.40700        12.44000         0.16359       145.50000
            695       757.99100         1.00000      2965.67300        12.32000         0.16707       145.50000
